141003::Beta Ser
141477::Kappa Ser
141513::Mu Ser
141795::Epsilon Ser
141556::Chi Lup
142091::Kappa CrB
142373::Chi Her
142096::Lambda Lib
141891::Beta TrA
142860::Gamma Ser
143107::Epsilon CrB
142983::48 Lib
143018::Pi Sco
143333::49 Lib
143275::Delta Sco
143459::50 Lib
144284::Theta Dra
144217:Graffias:Beta1 Sco
144197::Delta Nor
144294::Theta Lup
145001::Kappa Her
145389::Phi Her
145328::Tau CrB
146926::19 UMi
145397::Kappa Nor
146051:Yed prior:Delta Oph
145544::Delta TrA
148048::Eta UMi
146791:Yed posterior:Epsilon Oph
147394::Tau Her
146686::Gamma2 Nor
145366::Delta1 Aps
147165::Sigma Sco
147547::Gamma Her
147449::Sigma Ser
147869::21 Her
148112::Omg
149212::15 Dra
147584::Zeta TrA
148478:Antares:Alpha Sco
148856:Kornephoros:Beta Her
147675::Gamma Aps
149630::Sigma Her
149438::Tau Sco
149661::12 Oph
149757::Zeta Oph
150450::42 Her
150997::Eta Her
153751::Epsilon UMi
151431::19 Oph
150798:Atria:Alpha TrA
151249::Eta Ara
151769::20 Oph
151680::Epsilon Sco
152326::51 Her
151890::Mu1 Sco
152308::49 Her
152598::53 Her
152614::Iota Oph
153210::Kappa Oph
152786::Zeta Ara
152980::Epsilon1 Ara
153808::Epsilon Her
153687::30 Oph
154029::59 Her
154494::60 Her
155763::Zeta Dra
155203::Eta Sco
156164::Delta Her
156283::Pi Her
156247:U oph:
183030::Lambda UMi
157214::72 Her
157056::Theta Oph
156190::Iota Aps
157244::Beta Ara
157792::44 Oph
157999::Sigma Oph
158414::77 Her
157919::45 Oph
159181:Rastaban:Beta Dra
158899::Lambda Her
158408:Lesath:Upsilon Sco
158094::Delta Ara
158427::Alpha Ara
159966::27 Dra
159541::Nu1 Dra
166205::Delta UMi
159560::Nu2 Dra
158926:Shaula:Lambda Sco
159561:Rasalhague:Alpha Oph
160922::Omg
159532::Theta Sco
159876::Xi Ser
160762::Iota Her
162003::Psi Dra
160578::Kappa Sco
160915::58 Oph
161096:Cebalrai:Beta Oph
160691::Mu Ara
160635::Eta Pav
161797::Mu Her
161592::3 Sgr
161471::Iota1 Sco
161868::Gamma Oph
163989::35 Dra
161892:G sco:
163588:Grumium:Xi Dra
163506::89 Her
163770::Theta Her
164058:Eltanin:Gamma Dra
163993::Xi Her
163917::Nu Oph
164349::93 Her
164353::67 Oph
164358::6 Sgr
165135:Alnasl:Gamma Sgr
165024::Theta Ara
165777::72 Oph
166014::Omicron Her
166063::Epsilon Tel
166937::Mu Sgr
168151::36 Dra
167618::Eta Sgr
168775::Kappa Lyr
168656::74 Oph
168454:Kaus Media:Delta Sgr
170153::Chi Dra
168723::Eta Ser
168339::Xi Pav
169414::109 Her
169022:Kaus Australis:Epsilon Sgr
169467::Alpha Tel
169916:Kaus Borealis:Lambda Sgr
170296::Gamma Sct
170474::60 Ser
170845::Theta CrA
171443::Alpha Sct
172167:Vega:Alpha Lyr
172748::Delta Sct
171759::Zeta Pav
173009::Epsilon Sct
173300::Phi Sgr
173667::110 Her
175286::50 Dra
173880::111 Her
173764::Beta Sct
173715::Eta CrA
174638:Sheliak:Beta Lyr
174309::30 Sgr
175306::Omicron Dra
173948::Lambda Pav
176524::Upsilon Dra
164461::Chi Oct
175191:Nunki:Sigma Sgr
175865:R lyrae:13 Lyr
175638:Alya:Theta1 Ser
175775::Xi2 Sgr
175510::Lambda Tel
176437:Sulafat:Gamma Lyr
176411::Epsilon Aql
177724::Zeta Aql
177756::Lambda Aql
177716::Tau Sgr
178475::Iota Lyr
178253::Alpha CrA
178524::Pi Sgr
180711:Altais:Delta Dra
179406::20 Aql
181984::Tau Dra
180809::Theta Lyr
181276::Kappa Cyg
180540::43 Sgr
180868::Omg
181615::Upsilon Sgr
181454:Arkab:Beta1 Sgr
181869:Rukbat:Alpha Sgr
182572::31 Aql
182640::Delta Aql
183439::Alpha Vul
184006::Iota Cyg
183630::36 Aql
183912:Albireo:Beta Cyg
184171::8 Cyg
184406::Mu Aql
184127::Iota Tel
185395::Theta Cyg
184707::52 Sgr
184915::Kappa Aql
185644::54 Sgr
185958::Beta Sge
186005::55 Sgr
186486::10 Vul
186675::15 Cyg
186791:Tarazed:Gamma Aql
186648::56 Sgr
187076::Delta Sge
186543::Nu Tel
187532::51 Aql
187642:Altair:Alpha Aql
187929::Eta Aql
188114::Iota Sgr
188512:Alshain:Beta Aql
188947::Eta Cyg
188899::61 Sgr
189319::Gamma Sge
189103::Theta1 Sgr
188228::Epsilon Pav
189849::15 Vul
189763::62 Sgr
190327::Tau Aql
190421::Xi Tel
190248::Delta Pav
192907::Kappa Cep
191610::28 Cyg
191692::Theta Aql
192696::33 Cyg
192577:V695 cyg:Omicron1 Cyg
192425::Rho Aql
192944::24 Vul
192876::Alpha1 Cap
192879::4 Cap
192947:Algedi:Alpha2 Cap
193495:Dabih:Beta Cap
194093:Sadr:Gamma Cyg
193571::Kappa1 Sgr
193924:Peacock:Alpha Pav
195324::42 Cyg
195295::41 Cyg
195725::Theta Cep
195135::69 Aql
196502:Af dra:73 Dra
195810::Epsilon Del
196171::Alpha Ind
196724::29 Vul
196755::Kappa Del
196867::Alpha Del
196777::Upsilon Cap
197345:Deneb:Alpha Cyg
199095::76 Dra
197461::Delta Del
197157::Eta Ind
197051::Beta Pav
198149::7 Cep
197692::Psi Cap
197989::Epsilon Cyg
197964::Gamma2 Del
198001:Albali:Epsilon Aqr
198026::3 Aqr
197937::Iota Mic
198542::Omg
198743::Mu Aqr
199169::32 Vul
198700::Beta Ind
199629::Nu Cyg
199697::33 Vul
200120:V832 cyg:59 Cyg
199960::11 Aqr
199951::Gamma Mic
200163::Zeta Mic
199532::Alpha Oct
200905::Xi Cyg
200761::Theta Cap
201091::61 Cyg
200914::24 Cap
177482::Sigma Oct
201381::Nu Aqr
201601::Gamma Equ
202109::Zeta Cyg
201371::Omicron Pav
202447:Kitalpha:Alpha Equ
202850::Sigma Cyg
202904::Upsilon Cyg
202627::Epsilon Mic
203280:Alderamin:Alpha Cep
203006::Theta1 Mic
203504::1 Peg
203387::Iota Cap
203705::18 Aqr
203760::Gamma Ind
203608::Gamma Pav
204075::Zeta Cap
205021:Alfirk:Beta Cep
204771::71 Cyg
204724::2 Peg
204867:Sadalsuud:Beta Aqr
204854::6 PsA
205435::Rho Cyg
205835::74 Cyg
205767::Xi Aqr
205852::5 Peg
206088:Nashira:Gamma Cap
205478::Nu Oct
206952::11 Cep
206778:Enif:Epsilon Peg
206742::Iota PsA
207260::Nu Cep
207052::Lambda Cap
207330::Pi2 Cyg
207098:Deneb algedi:Delta Cap
207203::11 Peg
207650::14 Peg
207241::Omicron Ind
208057::16 Peg
207958::Mu Cap
207971::Gamma Gru
208450::Delta Ind
209166::20 Peg
209100::Epsilon Ind
209960::20 Cep
209750:Sadalmelik:Alpha Aqr
209688::Lambda Gru
209819::Iota Aqr
210027::Iota Peg
209952:Al nair:Alpha Gru
210049::Mu PsA
210354::27 Peg
210807::24 Cep
210459::Pi Peg
210418:Biham:Theta Peg
210745::Zeta Cep
210934::Lambda PsA
211391:Ancha:Theta Aqr
211416::Alpha Tuc
210967::Epsilon Oct
212076::31 Peg
212010::47 Aqr
212061:Sadachbia:Gamma Aqr
212496::Beta Lac
212571::Pi Aqr
212953::Nu Gru
213119::36 Peg
213306::Delta Cep
213009::Delta1 Gru
213798::Rho Cep
213323::38 Peg
213320::Sigma Aqr
213558::Alpha Lac
213398::Beta PsA
211539::Upsilon Oct
213845::Upsilon Aqr
213998::Eta Aqr
214470::31 Cep
214376::Kappa Aqr
214734::30 Cep
214680::10 Lac
214748::Epsilon PsA
214923:Homam:Zeta Peg
214952::Beta Gru
215182:Matar:Eta Peg
215373::13 Lac
215510::45 Peg
214846::Beta Oct
215665::Lambda Peg
215721::68 Aqr
215789::Epsilon Gru
216032::Tau Aqr
216228::Iota Cep
216131:Sadalbari:Mu Peg
216386::Lambda Aqr
216627:Skat:Delta Aqr
216437::Rho Ind
216956:Fomalhaut:Alpha PsA
217364::Zeta Gru
217675::Omicron And
217792::Pi PsA
217906:Scheat:Beta Peg
217891::Beta Psc
218045:Markab:Alpha Peg
218329::55 Peg
218470::5 And
218594::88 Aqr
218670::Iota Gru
218918::59 Peg
219134:Bradley 3077:
219215::Phi Aqr
219449::Psi1 Aqr
219615::Gamma Psc
219571::Gamma Tuc
219784::Gamma Scl
219832::Psi3 Aqr
220061::Tau Peg
220117::12 And
220321::98 Aqr
220652::4 Cas
220599::67 Peg
220657::Upsilon Peg
220729::Omicron Gru
220825::Kappa Psc
